Next Page Token = CfDJ8EgiEKLz2SFKpKvT-xxAYKIdopzxhd8ktnpG1hcELbec5c2GzWCtoQ_-TpunrySStTBEPw5JoW9EObENCxujeLU
teamId,teamName,submissionDate,score
15999593,Rishikesh Jani,2026-07-02 14:08:48.590000,5.262
15868731,Tucker Arrants,2026-07-03 02:00:56.903000,5.444
15891270,SaintLouis,2026-07-03 10:09:13.760000,5.482
15904349,Ryo Takaki,2026-07-03 01:33:23.073000,5.602
15864151,Arunodhayan & lightsource,2026-07-03 08:09:27.993000,5.813
15870218,Shrey Gandhi,2026-07-03 08:00:14.343000,5.925
15873784,Ruby,2026-06-28 15:52:38.696000,5.943
15910775,TKP,2026-07-03 01:04:12.430000,6.039
15870202,Vishal Kishore,2026-07-03 17:35:42.023000,6.137
16162311,alijs,2026-07-03 03:51:53.950000,6.148
15876549,NocturneBflat,2026-07-03 08:57:55.316000,6.229
15940821,I drink your milkshake,2026-07-03 09:09:21.993000,6.300
16037776,James Day,2026-07-03 02:05:15.683000,6.318
